"Status","Name","DisplayName","Time"
"Stopped","AarSvc_a0080","AarSvc_a0080","06-28-23 04:57:05"
"Running","AdobeARMservice","Adobe Acrobat Update Service","06-28-23 04:57:05"
"Stopped","AJRouter","AllJoyn Router Service","06-28-23 04:57:05"
"Stopped","ALG","Application Layer Gateway Service","06-28-23 04:57:05"
"Running","AMD Crash Defender Service","AMD Crash Defender Service","06-28-23 04:57:05"
"Running","AMD External Events Utility","AMD External Events Utility","06-28-23 04:57:05"
"Running","AnyDesk","AnyDesk Service","06-28-23 04:57:05"
"Running","Apache2.4","Apache2.4","06-28-23 04:57:05"
"Stopped","AppIDSvc","Application Identity","06-28-23 04:57:05"
"Running","Appinfo","Application Information","06-28-23 04:57:05"
"Stopped","AppMgmt","Application Management","06-28-23 04:57:05"
"Stopped","AppReadiness","App Readiness","06-28-23 04:57:05"
"Stopped","AppVClient","Microsoft App-V Client","06-28-23 04:57:05"
"Running","AppXSvc","AppX Deployment Service (AppXSVC)","06-28-23 04:57:05"
"Running","arwsrvc","Realtime Behavior Detection","06-28-23 04:57:05"
"Stopped","AssignedAccessManagerSvc","AssignedAccessManager Service","06-28-23 04:57:05"
"Running","AudioEndpointBuilder","Windows Audio Endpoint Builder","06-28-23 04:57:05"
"Running","Audiosrv","Windows Audio","06-28-23 04:57:05"
"Running","AUEPLauncher","AMD User Experience Program Launcher","06-28-23 04:57:05"
"Stopped","autotimesvc","Cellular Time","06-28-23 04:57:05"
"Stopped","AxInstSV","ActiveX Installer (AxInstSV)","06-28-23 04:57:05"
"Stopped","BcastDVRUserService_a0080","BcastDVRUserService_a0080","06-28-23 04:57:05"
"Running","Behavior Detection System","Behavior Detection System","06-28-23 04:57:05"
"Running","BFE","Base Filtering Engine","06-28-23 04:57:05"
"Stopped","BITS","Background Intelligent Transfer Service","06-28-23 04:57:05"
"Stopped","BluetoothUserService_a0080","BluetoothUserService_a0080","06-28-23 04:57:05"
"Running","BrokerInfrastructure","Background Tasks Infrastructure Service","06-28-23 04:57:05"
"Running","Browser","Computer Browser","06-28-23 04:57:05"
"Stopped","BTAGService","Bluetooth Audio Gateway Service","06-28-23 04:57:05"
"Running","BthAvctpSvc","AVCTP service","06-28-23 04:57:05"
"Stopped","bthserv","Bluetooth Support Service","06-28-23 04:57:05"
"Running","camsvc","Capability Access Manager Service","06-28-23 04:57:05"
"Stopped","CaptureService_a0080","CaptureService_a0080","06-28-23 04:57:05"
"Running","cbdhsvc_a0080","cbdhsvc_a0080","06-28-23 04:57:05"
"Running","CDPSvc","Connected Devices Platform Service","06-28-23 04:57:05"
"Running","CDPUserSvc_a0080","CDPUserSvc_a0080","06-28-23 04:57:05"
"Running","CertPropSvc","Certificate Propagation","06-28-23 04:57:05"
"Stopped","ClipSVC","Client License Service (ClipSVC)","06-28-23 04:57:05"
"Stopped","cloudidsvc","Microsoft Cloud Identity Service","06-28-23 04:57:05"
"Stopped","COMSysApp","COM+ System Application","06-28-23 04:57:05"
"Stopped","ConsentUxUserSvc_a0080","ConsentUxUserSvc_a0080","06-28-23 04:57:05"
"Running","Core Mail Protection","Core Mail Protection","06-28-23 04:57:05"
"Stopped","Core Scanning Server","Core Scanning Server","06-28-23 04:57:05"
"Running","Core Scanning ServerEx","Core Scanning ServerEx","06-28-23 04:57:05"
"Running","CoreMessagingRegistrar","CoreMessaging","06-28-23 04:57:05"
"Stopped","cphs","Intel(R) Content Protection HECI Service","06-28-23 04:57:05"
"Stopped","CredentialEnrollmentManagerUserSvc_a0080","CredentialEnrollmentManagerUserSvc_a0080","06-28-23 04:57:05"
"Running","CryptSvc","Cryptographic Services","06-28-23 04:57:05"
"Stopped","CscService","Offline Files","06-28-23 04:57:05"
"Running","CWAUpdaterService","Citrix Workspace Updater Service","06-28-23 04:57:05"
"Running","CxAudMsg","Conexant Audio Message Service","06-28-23 04:57:05"
"Running","DcomLaunch","DCOM Server Process Launcher","06-28-23 04:57:05"
"Stopped","defragsvc","Optimize drives","06-28-23 04:57:05"
"Stopped","DeviceAssociationBrokerSvc_a0080","DeviceAssociationBrokerSvc_a0080","06-28-23 04:57:05"
"Running","DeviceAssociationService","Device Association Service","06-28-23 04:57:05"
"Running","DeviceInstall","Device Install Service","06-28-23 04:57:05"
"Stopped","DevicePickerUserSvc_a0080","DevicePickerUserSvc_a0080","06-28-23 04:57:05"
"Stopped","DevicesFlowUserSvc_a0080","DevicesFlowUserSvc_a0080","06-28-23 04:57:05"
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker","06-28-23 04:57:05"
"Running","Dhcp","DHCP Client","06-28-23 04:57:05"
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","06-28-23 04:57:05"
"Stopped","diagsvc","Diagnostic Execution Service","06-28-23 04:57:05"
"Running","DiagTrack","Connected User Experiences and Telemetry","06-28-23 04:57:05"
"Stopped","DialogBlockingService","DialogBlockingService","06-28-23 04:57:05"
"Running","DispBrokerDesktopSvc","Display Policy Service","06-28-23 04:57:05"
"Running","DisplayEnhancementService","Display Enhancement Service","06-28-23 04:57:05"
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service","06-28-23 04:57:05"
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","06-28-23 04:57:05"
"Running","Dnscache","DNS Client","06-28-23 04:57:05"
"Running","DoSvc","Delivery Optimization","06-28-23 04:57:05"
"Running","dot3svc","Wired AutoConfig","06-28-23 04:57:05"
"Running","DPS","Diagnostic Policy Service","06-28-23 04:57:05"
"Stopped","DsmSvc","Device Setup Manager","06-28-23 04:57:05"
"Stopped","DsRoleSvc","DS Role Server","06-28-23 04:57:05"
"Stopped","DsSvc","Data Sharing Service","06-28-23 04:57:05"
"Running","DusmSvc","Data Usage","06-28-23 04:57:05"
"Running","Eaphost","Extensible Authentication Protocol","06-28-23 04:57:05"
"Stopped","EasyAntiCheat","EasyAntiCheat","06-28-23 04:57:05"
"Stopped","edgeupdate","Microsoft Edge Update Service (edgeupdate)","06-28-23 04:57:05"
"Stopped","edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","06-28-23 04:57:05"
"Running","EFS","Encrypting File System (EFS)","06-28-23 04:57:05"
"Stopped","embeddedmode","Embedded Mode","06-28-23 04:57:05"
"Stopped","EntAppSvc","Enterprise App Management Service","06-28-23 04:57:05"
"Running","EventLog","Windows Event Log","06-28-23 04:57:05"
"Running","EventSystem","COM+ Event System","06-28-23 04:57:05"
"Running","EvtEng","Intel(R) PROSet/Wireless Event Log","06-28-23 04:57:05"
"Stopped","Fax","Fax","06-28-23 04:57:05"
"Stopped","fdPHost","Function Discovery Provider Host","06-28-23 04:57:05"
"Stopped","FDResPub","Function Discovery Resource Publication","06-28-23 04:57:05"
"Stopped","fhsvc","File History Service","06-28-23 04:57:05"
"Running","FontCache","Windows Font Cache Service","06-28-23 04:57:05"
"Stopped","FrameServer","Windows Camera Frame Server","06-28-23 04:57:05"
"Running","GameInput Service","GameInput Service","06-28-23 04:57:05"
"Running","GamingServices","Gaming Services","06-28-23 04:57:05"
"Running","GamingServicesNet","Gaming Services","06-28-23 04:57:05"
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","06-28-23 04:57:05"
"Stopped","gpsvc","Group Policy Client","06-28-23 04:57:05"
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc","06-28-23 04:57:05"
"Stopped","gupdate","Google Update Service (gupdate)","06-28-23 04:57:05"
"Stopped","gupdatem","Google Update Service (gupdatem)","06-28-23 04:57:05"
"Stopped","hidserv","Human Interface Device Service","06-28-23 04:57:05"
"Running","hns","Host Network Service","06-28-23 04:57:05"
"Stopped","HP LaserJet Service","HP LaserJet Service","06-28-23 04:57:05"
"Stopped","HvHost","HV Host Service","06-28-23 04:57:05"
"Running","ibtsiva","Intel Bluetooth Service","06-28-23 04:57:05"
"Stopped","icssvc","Windows Mobile Hotspot Service","06-28-23 04:57:05"
"Running","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","06-28-23 04:57:05"
"Running","IJPLMSVC","Canon Inkjet Printer/Scanner/Fax Extended Survey Program","06-28-23 04:57:05"
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules","06-28-23 04:57:05"
"Running","InstallService","Microsoft Store Install Service","06-28-23 04:57:05"
"Stopped","Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface","06-28-23 04:57:05"
"Stopped","Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service","06-28-23 04:57:05"
"Running","iphlpsvc","IP Helper","06-28-23 04:57:05"
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service","06-28-23 04:57:05"
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","06-28-23 04:57:05"
"Running","KeyIso","CNG Key Isolation","06-28-23 04:57:05"
"Stopped","KMSEmulator","KMS-host Service","06-28-23 04:57:05"
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator","06-28-23 04:57:05"
"Running","LanmanServer","Server","06-28-23 04:57:05"
"Running","LanmanWorkstation","Workstation","06-28-23 04:57:05"
"Running","lfsvc","Geolocation Service","06-28-23 04:57:05"
"Running","LicenseManager","Windows License Manager Service","06-28-23 04:57:05"
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper","06-28-23 04:57:05"
"Running","lmhosts","TCP/IP NetBIOS Helper","06-28-23 04:57:05"
"Running","LSM","Local Session Manager","06-28-23 04:57:05"
"Stopped","LxpSvc","Language Experience Service","06-28-23 04:57:05"
"Stopped","MapsBroker","Downloaded Maps Manager","06-28-23 04:57:05"
"Stopped","MessagingService_a0080","MessagingService_a0080","06-28-23 04:57:05"
"Stopped","MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","06-28-23 04:57:05"
"Stopped","MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","06-28-23 04:57:05"
"Running","mpssvc","Windows Defender Firewall","06-28-23 04:57:05"
"Stopped","MSDTC","Distributed Transaction Coordinator","06-28-23 04:57:05"
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service","06-28-23 04:57:05"
"Stopped","msiserver","Windows Installer","06-28-23 04:57:05"
"Stopped","MsKeyboardFilter","Microsoft Keyboard Filter","06-28-23 04:57:05"
"Stopped","MyWiFiDHCPDNS","Wireless PAN DHCP Server","06-28-23 04:57:05"
"Stopped","NaturalAuthentication","Natural Authentication","06-28-23 04:57:05"
"Stopped","NcaSvc","Network Connectivity Assistant","06-28-23 04:57:05"
"Running","NcbService","Network Connection Broker","06-28-23 04:57:05"
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup","06-28-23 04:57:05"
"Stopped","Netlogon","Netlogon","06-28-23 04:57:05"
"Stopped","Netman","Network Connections","06-28-23 04:57:05"
"Running","netprofm","Network List Service","06-28-23 04:57:05"
"Stopped","NetSetupSvc","Network Setup Service","06-28-23 04:57:05"
"Stopped","NgcCtnrSvc","Microsoft Passport Container","06-28-23 04:57:05"
"Stopped","NgcSvc","Microsoft Passport","06-28-23 04:57:05"
"Running","NlaSvc","Network Location Awareness","06-28-23 04:57:05"
"Running","nsi","Network Store Interface Service","06-28-23 04:57:05"
"Running","nvagent","Network Virtualization Service","06-28-23 04:57:05"
"Running","OneSyncSvc_a0080","OneSyncSvc_a0080","06-28-23 04:57:05"
"Running","Online Protection System","Online Protection System","06-28-23 04:57:05"
"Stopped","ose","Office Source Engine","06-28-23 04:57:05"
"Stopped","ose64","Office 64 Source Engine","06-28-23 04:57:05"
"Stopped","p2pimsvc","Peer Networking Identity Manager","06-28-23 04:57:05"
"Stopped","p2psvc","Peer Networking Grouping","06-28-23 04:57:05"
"Running","PcaSvc","Program Compatibility Assistant Service","06-28-23 04:57:05"
"Stopped","PeerDistSvc","BranchCache","06-28-23 04:57:05"
"Stopped","perceptionsimulation","Windows Perception Simulation Service","06-28-23 04:57:05"
"Stopped","PerfHost","Performance Counter DLL Host","06-28-23 04:57:05"
"Stopped","PhoneSvc","Phone Service","06-28-23 04:57:05"
"Running","PimIndexMaintenanceSvc_a0080","PimIndexMaintenanceSvc_a0080","06-28-23 04:57:05"
"Stopped","pla","Performance Logs & Alerts","06-28-23 04:57:05"
"Running","PlugPlay","Plug and Play","06-28-23 04:57:05"
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service","06-28-23 04:57:05"
"Stopped","PNRPsvc","Peer Name Resolution Protocol","06-28-23 04:57:05"
"Running","PolicyAgent","IPsec Policy Agent","06-28-23 04:57:05"
"Running","Power","Power","06-28-23 04:57:05"
"Stopped","PrintNotify","Printer Extensions and Notifications","06-28-23 04:57:05"
"Stopped","PrintWorkflowUserSvc_a0080","PrintWorkflowUserSvc_a0080","06-28-23 04:57:05"
"Running","ProfSvc","User Profile Service","06-28-23 04:57:05"
"Stopped","PushToInstall","Windows PushToInstall Service","06-28-23 04:57:05"
"Running","Quick Update Service","Quick Update Service","06-28-23 04:57:05"
"Stopped","QWAVE","Quality Windows Audio Video Experience","06-28-23 04:57:05"
"Stopped","RasAuto","Remote Access Auto Connection Manager","06-28-23 04:57:05"
"Running","RasMan","Remote Access Connection Manager","06-28-23 04:57:05"
"Running","RegSrvc","Intel(R) PROSet/Wireless Registry Service","06-28-23 04:57:05"
"Stopped","RemoteAccess","Routing and Remote Access","06-28-23 04:57:05"
"Stopped","RemoteRegistry","Remote Registry","06-28-23 04:57:05"
"Running","RepairService","RepairService","06-28-23 04:57:05"
"Stopped","RetailDemo","Retail Demo Service","06-28-23 04:57:05"
"Running","RmSvc","Radio Management Service","06-28-23 04:57:05"
"Running","RpcEptMapper","RPC Endpoint Mapper","06-28-23 04:57:05"
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator","06-28-23 04:57:05"
"Running","RpcSs","Remote Procedure Call (RPC)","06-28-23 04:57:05"
"Running","SamSs","Security Accounts Manager","06-28-23 04:57:05"
"Running","SAService","Conexant SmartAudio service","06-28-23 04:57:05"
"Stopped","ScanWscS","Total Security Helper Service WSC","06-28-23 04:57:05"
"Stopped","SCardSvr","Smart Card","06-28-23 04:57:05"
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service","06-28-23 04:57:05"
"Running","Schedule","Task Scheduler","06-28-23 04:57:05"
"Stopped","SCPolicySvc","Smart Card Removal Policy","06-28-23 04:57:05"
"Running","ScSecSvc","Core Browsing Protection","06-28-23 04:57:05"
"Stopped","SDRSVC","Windows Backup","06-28-23 04:57:05"
"Stopped","seclogon","Secondary Logon","06-28-23 04:57:05"
"Running","SEMgrSvc","Payments and NFC/SE Manager","06-28-23 04:57:05"
"Running","SENS","System Event Notification Service","06-28-23 04:57:05"
"Stopped","SensorDataService","Sensor Data Service","06-28-23 04:57:05"
"Stopped","SensorService","Sensor Service","06-28-23 04:57:05"
"Stopped","SensrSvc","Sensor Monitoring Service","06-28-23 04:57:05"
"Running","SessionEnv","Remote Desktop Configuration","06-28-23 04:57:05"
"Running","SharedAccess","Internet Connection Sharing (ICS)","06-28-23 04:57:05"
"Stopped","SharedRealitySvc","Spatial Data Service","06-28-23 04:57:05"
"Running","ShellHWDetection","Shell Hardware Detection","06-28-23 04:57:05"
"Stopped","shpamsvc","Shared PC Account Manager","06-28-23 04:57:05"
"Stopped","smphost","Microsoft Storage Spaces SMP","06-28-23 04:57:05"
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.","06-28-23 04:57:05"
"Stopped","SNMPTRAP","SNMP Trap","06-28-23 04:57:05"
"Stopped","spectrum","Windows Perception Service","06-28-23 04:57:05"
"Running","Spooler","Print Spooler","06-28-23 04:57:05"
"Stopped","sppsvc","Software Protection","06-28-23 04:57:05"
"Running","SQLWriter","SQL Server VSS Writer","06-28-23 04:57:05"
"Running","SSDPSRV","SSDP Discovery","06-28-23 04:57:05"
"Stopped","ssh-agent","OpenSSH Authentication Agent","06-28-23 04:57:05"
"Running","SstpSvc","Secure Socket Tunneling Protocol Service","06-28-23 04:57:05"
"Running","StateRepository","State Repository Service","06-28-23 04:57:05"
"Running","stisvc","Windows Image Acquisition (WIA)","06-28-23 04:57:05"
"Running","StorSvc","Storage Service","06-28-23 04:57:05"
"Stopped","SUService","System Update","06-28-23 04:57:05"
"Stopped","svsvc","Spot Verifier","06-28-23 04:57:05"
"Stopped","swprv","Microsoft Software Shadow Copy Provider","06-28-23 04:57:05"
"Running","SynTPEnhService","SynTPEnh Caller Service","06-28-23 04:57:05"
"Running","SysMain","SysMain","06-28-23 04:57:05"
"Running","SystemEventsBroker","System Events Broker","06-28-23 04:57:05"
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service","06-28-23 04:57:05"
"Running","TapiSrv","Telephony","06-28-23 04:57:05"
"Running","TermService","Remote Desktop Services","06-28-23 04:57:05"
"Running","Themes","Themes","06-28-23 04:57:05"
"Stopped","TieringEngineService","Storage Tiers Management","06-28-23 04:57:05"
"Running","TimeBrokerSvc","Time Broker","06-28-23 04:57:05"
"Running","TokenBroker","Web Account Manager","06-28-23 04:57:05"
"Running","TrkWks","Distributed Link Tracking Client","06-28-23 04:57:05"
"Stopped","TroubleshootingSvc","Recommended Troubleshooting Service","06-28-23 04:57:05"
"Stopped","TrustedInstaller","Windows Modules Installer","06-28-23 04:57:05"
"Stopped","tzautoupdate","Auto Time Zone Updater","06-28-23 04:57:05"
"Stopped","UdkUserSvc_a0080","UdkUserSvc_a0080","06-28-23 04:57:05"
"Stopped","UevAgentService","User Experience Virtualization Service","06-28-23 04:57:05"
"Running","uhssvc","Microsoft Update Health Service","06-28-23 04:57:05"
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector","06-28-23 04:57:05"
"Running","UnistoreSvc_a0080","UnistoreSvc_a0080","06-28-23 04:57:05"
"Running","upnphost","UPnP Device Host","06-28-23 04:57:05"
"Running","UserDataSvc_a0080","UserDataSvc_a0080","06-28-23 04:57:05"
"Running","UserManager","User Manager","06-28-23 04:57:05"
"Running","UsoSvc","Update Orchestrator Service","06-28-23 04:57:05"
"Stopped","VacSvc","Volumetric Audio Compositor Service","06-28-23 04:57:05"
"Running","VaultSvc","Credential Manager","06-28-23 04:57:05"
"Stopped","VBoxSDS","VirtualBox system service","06-28-23 04:57:05"
"Stopped","vds","Virtual Disk","06-28-23 04:57:05"
"Stopped","vmcompute","Hyper-V Host Compute Service","06-28-23 04:57:05"
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface","06-28-23 04:57:05"
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service","06-28-23 04:57:05"
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service","06-28-23 04:57:05"
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service","06-28-23 04:57:05"
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service","06-28-23 04:57:05"
"Stopped","vmictimesync","Hyper-V Time Synchronization Service","06-28-23 04:57:05"
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service","06-28-23 04:57:05"
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor","06-28-23 04:57:05"
"Stopped","VSS","Volume Shadow Copy","06-28-23 04:57:05"
"Stopped","VSStandardCollectorService150","Visual Studio Standard Collector Service 150","06-28-23 04:57:05"
"Stopped","W32Time","Windows Time","06-28-23 04:57:05"
"Running","WaaSMedicSvc","Windows Update Medic Service","06-28-23 04:57:05"
"Stopped","WalletService","WalletService","06-28-23 04:57:05"
"Stopped","WarpJITSvc","WarpJITSvc","06-28-23 04:57:05"
"Stopped","wbengine","Block Level Backup Engine Service","06-28-23 04:57:05"
"Stopped","WbioSrvc","Windows Biometric Service","06-28-23 04:57:05"
"Running","Wcmsvc","Windows Connection Manager","06-28-23 04:57:05"
"Stopped","wcncsvc","Windows Connect Now - Config Registrar","06-28-23 04:57:05"
"Running","WdiServiceHost","Diagnostic Service Host","06-28-23 04:57:05"
"Running","WdiSystemHost","Diagnostic System Host","06-28-23 04:57:05"
"Stopped","WebClient","WebClient","06-28-23 04:57:05"
"Stopped","Wecsvc","Windows Event Collector","06-28-23 04:57:05"
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service","06-28-23 04:57:05"
"Stopped","wercplsupport","Problem Reports Control Panel Support","06-28-23 04:57:05"
"Stopped","WerSvc","Windows Error Reporting Service","06-28-23 04:57:05"
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","06-28-23 04:57:05"
"Stopped","WiaRpc","Still Image Acquisition Events","06-28-23 04:57:05"
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","06-28-23 04:57:05"
"Running","Winmgmt","Windows Management Instrumentation","06-28-23 04:57:05"
"Running","WinRM","Windows Remote Management (WS-Management)","06-28-23 04:57:05"
"Stopped","wisvc","Windows Insider Service","06-28-23 04:57:05"
"Running","WlanSvc","WLAN AutoConfig","06-28-23 04:57:05"
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant","06-28-23 04:57:05"
"Stopped","wlpasvc","Local Profile Assistant Service","06-28-23 04:57:05"
"Stopped","WManSvc","Windows Management Service","06-28-23 04:57:05"
"Stopped","wmiApSrv","WMI Performance Adapter","06-28-23 04:57:05"
"Running","WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","06-28-23 04:57:05"
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service","06-28-23 04:57:05"
"Stopped","workfolderssvc","Work Folders","06-28-23 04:57:05"
"Stopped","WpcMonSvc","Parental Controls","06-28-23 04:57:05"
"Stopped","WPDBusEnum","Portable Device Enumerator Service","06-28-23 04:57:05"
"Running","WpnService","Windows Push Notifications System Service","06-28-23 04:57:05"
"Running","WpnUserService_a0080","WpnUserService_a0080","06-28-23 04:57:05"
"Running","WSearch","Windows Search","06-28-23 04:57:05"
"Stopped","wuauserv","Windows Update","06-28-23 04:57:05"
"Stopped","WwanSvc","WWAN AutoConfig","06-28-23 04:57:05"
"Stopped","XblAuthManager","Xbox Live Auth Manager","06-28-23 04:57:05"
"Stopped","XblGameSave","Xbox Live Game Save","06-28-23 04:57:05"
"Stopped","XboxGipSvc","Xbox Accessory Management Service","06-28-23 04:57:05"
"Stopped","XboxNetApiSvc","Xbox Live Networking Service","06-28-23 04:57:05"
"Running","ZeroConfigService","Intel(R) PROSet/Wireless Zero Configuration Service","06-28-23 04:57:05"
